Code,Mum,Dad
CRA85,BIG76,FLINT
CRE85,CLE76,NA
CUC85,UMB80,NA
CUR85,UPT74,TRN77
FAN85,COL80,TAMEG
FEA85,PLO82,TRN77
FID85,VER78,QUINS
FIS85,CRA81,RED77
FUL85,MAW79,MASSI
GAL85,POL77,TAMEG
GEM85,POL79,NA
GRC85,GRE72,TER75
HAR85,MOY76,YTA77
HIC85,BLT75,TER75
INI85,VER79,NA
JUG85,BRF79,TOR76
KIL85,BUL71,NA
LEN85,MOY73,NA
LOB85,TOR78,RED77
MAN85,MOM72,RED77
MAW85,MOD74,FLINT
MAX85,COL78,TRN77
MOS85,CRT74,NA
MUR85,COL79,BET76
MUS85,RED74,BRF76
NON85,NOB76,FOL77
OCC85,CLC80,NA
OCH85,SAF80,LIKEC
PEN85,BAR80,ASP77
PET85,FAG79,BET76
PGB85,SOB68,NA
SAF85,CRT76,BET76
SCI85,BLO80,NA
TUR85,MUS77,OTA76
TYS85,TOR75,NA
WHO85,MYR74,NA
WHS85,BAR79,RED77
WID85,MOW71,ROCKY
WIG85,TEA76,LTNIK
ANK86,KIL82,NA
AVO86,UPT78,NA
BCL86,BUC81,LTNIK
BUC86,BUL73,LTNIK
CRA86,BIG76,RED79
DAN86,BUC82,LTNIK
EOL86,CAN80,D0591
FAN86,COL80,VER81
FID86,VER78,Sep-77
FOL86,MOD72,RED77
FUL86,MAW79,MASSI
GAL86,POL77,ROCKY
INI86,VER79,OTC76
LOB86,TOR78,MASSI
MOO86,MOY82,RED77
NON86,NOB76,YTA77
PEN86,BAR80,RED77
PLO86,TRN74,NA
RHY86,MOS78,YELLO
SUR86,THO82,OTA76
THO86,YTA74,YELLO
TIG86,OTA80,NA
WHA86,CUR78,OTC76
WHE86,UPR74,NA
APN87,ASP78,LIT76
ATH87,THO81,OTA76
BCL87,BUC81,RED79
BUC87,BUL73,YTA77
CAL87,CIN78,ROCKY
CAN87,WHI73,BRF76
CFU87,CMO77,ROCKY
CLA87,CLE77,D0559
CLC87,COL72,BRF76
CRA87,BIG76,LIT76
CUC87,UMB80,Sep-77
CWR87,LIM80,CRE80
DUN87,WHA83,BITES
EBO87,PET83,ROCKY
FAN87,COL80,KIW79
FID87,VER78,RED79
FIE87,SIE82,D0559
FUL87,MAW79,MEL79
GAL87,POL77,YTA77
INI87,VER79,RED79
JUG87,BRF79,OTA76
LAM87,CMO78,MUS79
MAD87,BOT79,FLINT
MNX87,FUL83,KIW79
MUS87,RED74,OTA76
NON87,NOB76,AXISS
OAT87,BAR83,RED77
OCH87,SAF80,BITES
PAP87,CAL82,ROCKY
PEL87,MOS83,SCO78
PEN87,BAR80,RED77
PET87,FAG79,BITES
PTN87,LIM83,CRE80
QUA87,BR274,NA
SAT87,CLM82,NA
SCI87,BLO80,RED77
SES87,HAR82,YTA77
SME87,TEA78,RED79
SUR87,THO82,VIC80
THO87,YTA74,BAR82
TOU87,CAN82,RED79
TRA87,GRC76,NA
