Code,Mum,Dad
MNS01,STR96,OCH92
MRN01,ALB94,BUZZA
NEB01,STA97,TNY94
NET01,DOC94,TNY94
NIV01,SAX97,TAM94
OPA01,STO96,PEREG
OXA01,SRL91,CCO93
PAN01,PID95,TNY94
PRN01,OXA95,CHP90
PUF01,POM97,SANDY
RMX01,DOC97,TNY94
SEQ01,SYC91,MOBYD
SER01,HRM95,TNY94
SHL01,GRA96,D0549
SKU01,FUL86,BUZZA
SLO01,GIN93,AST91
STO01,WHA89,HER91
TIC01,CLO96,TNY94
TIK01,HAL95,HAL88
TWA01,ORC97,D0587
WAG01,LPW91,EGR88
WAL01,DIC95,TNY94
YOS01,SEQ96,ATH91
ZUC01,CUC91,ATH91
ANM02,BAC98,EGR93
BIE02,CFI94,SHTNK
BNN02,OAT94,CSK93
BRS02,SKI94,CSK93
CAY02,CPS97,D0566
DOT02,LPW93,KKONG
GOB02,CSK98,OCH92
GOD02,AVO90,KKONG
GRA02,FAN90,D0565
LAR02,KIT95,CSK93
MDR02,TIK98,AST95
MEG02,Mar-95,SEE95
MOU02,DIC94,EGR95
MRY02,Mar-93,BUZZA
NEC02,SPL98,TNY94
PAN02,PID95,OCH92
PTL02,MNX89,SOL94
RBY02,STO98,HER91
STI02,AVO89,FRO95
SWA02,SWI88,BUZZA
SYC02,PET87,BERTI
TRT02,OCH90,KKONG
TSL02,THS96,D0565
WHZ02,CGH94,KKONG
ANM03,BAC98,CSK95
BAC03,PTN93,TYS89
BIE03,CFI94,BULBY
BUT03,BCL93,JUG90
CED03,SEQ95,ATH91
CLL03,VIO96,KKONG
CSK03,ANK89,OCH92
DOC03,HIC88,EGR93
DRP03,SAX99,D0548
FDL03,VIO89,KKONG
FOU03,SUL90,BUZZA
FRA03,PEN90,BUZZA
GAN03,SUL94,CSK93
GEN03,SAX98,CLT95
GOD03,AVO90,JUG90
GRA03,FAN90,KKONG
HEL03,ORC95,CSK95
HIA03,PID97,TNG94
HIR03,FUL93,SANDY
HOC03,HOL97,OCH92
IVO03,EBO90,KKONG
IVY03,ILE87,WOD96
JAE03,BNX95,SANDY
JAY03,CGH95,KKONG
KLD03,BNX94,SANDY
LAR03,KIT95,BUZZA
MDL03,FAN93,TNG95
MEE03,YEW99,BUZZA
MRG03,THS98,ATH91
NEB03,STA97,OCH92
OPA03,STO96,ATH91
PAN03,PID95,KKONG
PCO03,VIO97,D0587
POM03,BNX93,SANDY
PUF03,POM97,CSK95
RAP03,THU94,TAM94
RIB03,BCL96,BULBY
RPP03,RUF00,MOBYD
RUF03,GOD97,BULBY
SAG03,SEM95,SEQ98
SLR03,FLG98,TYS89
STR03,MNX90,BUZZA
TSL03,THS96,NA
WAG03,LPW91,CSK93
WAL03,DIC95,OCH92
WHZ03,CGH94,MOBYD
WSD03,MLR96,D0546
YOS03,SEQ96,ATH91
ABS04,IVO99,DSA07
APA04,SEQ99,BNX96
BEA04,MOO96,DOC95
BIE04,CFI94,BULBY
BSY04,MLN97,GEC97
BUM04,NET99,THS95
BUT04,BCL93,CLT95
CHF04,WAG95,TAM94
CLL04,VIO96,TNG94
CLW04,STI94,BULBY
CMR04,CLT97,BULBY
CND04,TIN98,CEDRI
CNN04,RUM01,AST95
DOT04,LPW93,THS95
FMR04,HOL00,TNG94
FRA04,PEN90,CSK93
GAN04,SUL94,CSK93
GNB04,SLO01,D0597
GRA04,FAN90,TNG95
HED04,IVY97,OCH92
HIA04,PID97,OCH92
HOC04,HOL97,BNX96
HOL04,ILE86,MAL95
KRB04,ALD01,ZUC96
LAC04,BCL95,IVY96
LAR04,KIT95,THS95
LIL04,THU96,SQU98
LMS04,GOD94,TNG95
LNC04,SAX00,SYC96
MDL04,FAN93,FRA96
MEG04,Mar-95,SANDY
MLD04,HRM99,TNG94
MLN04,BEE93,FDL97
MRY04,Mar-93,SANDY
MTT04,TNG99,TNG94
NEB04,STA97,MAL95
NET04,DOC94,TNG94
OPA04,STO96,TNY94
PAN04,PID95,TNG94
PCO04,VIO97,CEDRI
PMP04,MNT99,NA
POM04,BNX93,DPU94
PUF04,POM97,CSK93
RUF04,GOD97,BULBY
SAG04,SEM95,CSK95
SHL04,GRA96,BUZZA
SLL04,PAN00,BNX96
SSK04,CHF01,CEDRI
TIC04,CLO96,OCH92
TIK04,HAL95,GEC97
TSL04,THS96,TNY94
WAG04,LPW91,CSK95
WAL04,DIC95,WOD96
APA05,SEQ99,IVY96
BUT05,BCL93,CLT95
CMT05,MLN00,PERCY
DEO05,CED99,NA
EID05,MAL93,D0546
ESP05,LTE02,D0571
GAN05,SUL94,CSK93
KLD05,BNX94,DOC95
KRM05,TIK01,SYC96
MGH05,MEG00,DPU94
MOU05,DIC94,MAL95
MRY05,Mar-93,SANDY
OXA05,SRL91,SYC96
OXY05,DOC96,TNG94
PRC05,TRT98,ZUC96
PUF05,POM97,SANDY
RPP05,RUF00,BULBY
RUB05,GRA98,TNG94
RUF05,GOD97,CEL97
SLR05,FLG98,WOD96
WAL05,DIC95,WOD96
ZUC05,CUC91,TNY94
ABS06,IVO99,EGR93
ARA06,HED01,CEDRI
BIE06,CFI94,CSK93
BRY06,HIR03,CSK95
BUM06,NET99,CEDRI
BUT06,BCL93,CSK93
CBL06,GRA02,CRD99
CCL06,STR00,AIDAN
CER06,PRC02,IVY96
CET06,RUF02,EGR93
CHD06,BIE01,BULBY
CNN06,RUM01,ALD99
CPY06,MOU03,NIGEL
DTN06,TRT00,STUAR
DUB06,STI02,CSK93
GAN06,SUL94,AIDAN
HED06,IVY97,PERCY
HIA06,PID97,TNY94
LAR06,KIT95,AIDAN
LMS06,GOD94,TNG95
LPA06,LMS97,GEC97
MLD06,HRM99,TNY94
MOU06,DIC94,FLG00
MRG06,THS98,TNY94
MRY06,Mar-93,DPU94
NEB06,STA97,AIDAN
NET06,DOC94,CEDRI
OPA06,STO96,PERCY
RAP06,THU94,PERCY
RUB06,GRA98,TNY94
SAG06,SEM95,SYC00
SAP06,RBY02,NA
SIG06,RPP03,BNX96
SLR06,FLG98,CEDRI
SSK06,CHF01,TNY94
TIC06,CLO96,CEDRI
TIN06,THU91,HAW99
UKL06,FDL99,PERRN
ZUC06,CUC91,TNY94
